Store Code,Region,City,Store Name
A286,West Bengal,Kolkata,Salt Lake Sector 5
A288,Maharashtra,Virar,Redbricks
A289,Karnataka,Hubli,Vidyanagar
A290,Gujarat,Ahmedabad,Bapunagar
A291,Rajasthan,Udaipur,RK Circle
A292,Telangana,Hyderabad,Dilsukhnagar
A294,Punjab,Zirakhpur,Garden Village
A296,Madhya Pradesh,Sehore,Chanakyapuri
A297,Gujarat,Surat,Katargam
A298,Karnataka,Udupi,Manipal Road
A299,Kerala,Palakkad,Stadium Bypass Road
A300,Telangana,Hyderabad,Vanasthalipuram
A301,Gujarat,Ahmedabad,Makarba
A303,Maharashtra,Pune,Wagholi
A304,Maharashtra,Akola,Kirti Nagar
A306,Haryana,Gurugram,Sector 86
A307,Gujarat,Ahmedabad,Sindhu Bhavan
A308,Telangana,Hyderabad,Boduppal
A309,Kerala,Kochi,Bypass Road Vyttila
A310,Telangana,Secunderabad,Ranigunj
A311,Delhi,New Delhi,DB Gupta Road
A312,Uttarakhand,Dehradun,Rajpur Road
A313,Delhi,New Delhi,Punjabi Bagh
A314,Maharashtra,Ahmednagar,Kohinoor Mall
A315,Tamil Nadu,Chennai,Selaiyur
A316,Haryana,Gurugram,Mall Fifty One
A318,West Bengal,Kolkata,Park Street
A319,Gujarat,Ahmedabad,Hathijan Circle
A320,Kerala,Kozhikode,Hilite Mall
A321,Karnataka,Bangalore,Nagarbhavi
A322,Tamil Nadu,Chennai,Sholinganallur
A323,Kerala,Kochi,Kalamassery
A324,Gujarat,Bardoli,Mota Road
A325,Gujarat,Amreli,Krushi Mall
A326,Karnataka,Bangalore,Kanakpura
A327,Gujarat,Surendranagar,Upasna circle
A328,Gujarat,Ahmedabad,Zundal
A329,Delhi,New Delhi,DLF Avenue Mall
A330,Madhya Pradesh,Ratlam,Do Batti Chowk
A331,Maharashtra,Pune,Chakan
A334,Andhra Pradesh,Guntur,Tadepalle
A335,Madhya Pradesh,Ujjain,Dewas Road
A336,Delhi,New Delhi,Shahdara
A339,Tamil Nadu,Chennai,Urapakkam
A340,Tamil Nadu,Chennai,Adyar
A342,Maharashtra,Pune,Westend Mall
A343,Andhra Pradesh,Vijayawada,Airport
A344,Punjab,Ludhiana,Sector 32A
A345,Gujarat,Porbandar,Jalaram Colony
A347,Gujarat,Ahmedabad,Nava Naroda
A348,Madhya Pradesh,Indore,Bicholi Mardana
A352,Maharashtra,Chandrapur,Nagpur Road
A353,Telangana,Mahbubnagar,Rajendra Nagar
A354,Maharashtra,Nagpur,Wardha Road
A355,Haryana,Yamunanagar,Gobindpuri Road
A356,Tamil Nadu,Chennai,Ambattur
A357,Andhra Pradesh,Vijayawada,Eluru Road
A358,Delhi,New Delhi,Pacific Mall
A359,Uttar Pradesh,Kanpur,Awas Vikas
A363,Karnataka,Bangalore,Nagavara
A365,Uttar Pradesh,Kanpur,Mall Road
A370,West Bengal,Howrah,Avani Mall
A371,Uttar Pradesh,Lucknow,Faizabad Road
A373,Gujarat,Rajkot,Madhapar
A374,Rajasthan,Sriganganagar,Ridhi Sidhi Enclave
A375,Delhi,New Delhi,Daryaganj
A377,Maharashtra,Pune,Datta Mandir Road
A378,West Bengal,Kolkata,Dum Dum
A379,Punjab,Pathankot,Dalhousie Road
A380,Jharkhand,Jamshedpur,Bistupur
A381,Orissa,Bhubaneshwar,Janpath Road
A382,Chandigarh,Chandigarh,Elante Mall
A383,Madhya Pradesh,Khandwa,Indore
A384,Uttar Pradesh,Ghaziabad,Raj Nagar Extension
A385,West Bengal,Kolkata,Acropolis Mall
A388,Uttar Pradesh,Lucknow,Palassio Mall
A391,Tamil Nadu,Chennai,Vivira Mall
A392,Orissa,Bhubaneshwar,Patia
A393,Haryana,Faridabad,NIT
A396,Maharashtra,Navi Mumbai,Kamothe
A397,Andhra Pradesh,Ongole,Trunk Road
A398,Haryana,Gurugram,Reach 3 Roads
A399,Maharashtra,Pune,Bavdhan
A402,Telangana,Karimnagar,Jagtial Road
A403,Gujarat,Morbi,Sanala Road
A411,Gujarat,Ahmedabad,Ramol
A412,Gujarat,Gandhinagar,Sargasan Road
A413,Maharashtra,Jalna,Old Mondha
A415,Maharashtra,Pune,Aero Mall
A416,Gujarat,Ankleshwar,Apple Plaza
A421,Haryana,Panchkula,Sector 11
A422,Telangana,Secunderabad,Nagaram
A424,West Bengal,Howrah,Liluah
A425,Uttarakhand,Haridwar,Ranipur Mod
A426,Telangana,Warangal,SV Patel Road
A430,Telangana,Hyderabad,Airport 2
A436,Haryana,Panipat,Mittal Mega Mall
A439,Karnataka,Bangalore,HSR Layout
A443,Delhi,New Delhi,Janakpuri C1 Block
A445,Maharashtra,Kalyan,Metro Junction Mall
A448,Telangana,Secunderabad,Nacharam
A453,Madhya Pradesh,Bhopal,Kohefiza
A454,Orissa,Cuttack,College Square
A455,Punjab,Mohali,CP 67
A458,Maharashtra,Solapur,Hotgi Road
A461,Maharashtra,Ulhasnagar,Central Hospital Road
A465,Rajasthan,Jaipur,Tonk Road
A467,West Bengal,Kolkata,NSC Bose Road
A469,Maharashtra,Aurangabad,Jalna Road
A470,Telangana,Hyderabad,Hyderguda
A473,Delhi,New Delhi,West Patel Nagar
A476,Andhra Pradesh,Madanapalle,NTR Road
A478,Maharashtra,Mumbai,Nalasopara West
A486,Gujarat,Vapi,GIDC
A489,Karnataka,Bangalore,Global Malls
A491,Maharashtra,Nashik,Gangapur Road
A494,Andhra Pradesh,Vijayawada,Enikepadu
A495,Telangana,Hyderabad,Hasthinapuram
A498,Delhi,New Delhi,Malviya Nagar
A506,Gujarat,Surat,Bhagal
A512,Tamil Nadu,Chennai,Citi Centre Mall
A513,Madhya Pradesh,Indore,Phoenix Citadel
A515,Karnataka,Bangalore,Gottigere
A523,Gujarat,Vadodara,Kothi Char Rasta
A363,Karnataka,Bangalore,Nagavara
A417,Delhi,New Delhi,Patparganj
A432,Kerala,Kottayam,MC Road
A453,Madhya Pradesh,Bhopal,Kohefiza
A461,Maharashtra,Ulhasnagar,Central Hospital Ro
A470,Telangana,Hyderabad,Hyderguda
A478,Maharashtra,Palghar,Nalasopara West
A480,Maharashtra,Palghar,Virar East
A493,Maharashtra,Mumbai,Powai
A495,Telangana,Hyderabad,Hasthinapuram
A513,Madhya Pradesh,Indore,Phoenix Citadel
A545,Delhi,New Delhi,Lajpat Nagar
A441,Chhattisgarh,Rajnandgaon,Basantpur Road
A442,Maharashtra,Pune,93 Avenue
A054,Maharashtra,Thane,R Mall
A248,Gujarat,Valsad,Dharampur Road
A266,Delhi,New Delhi,EPICA Mall
A254,Karnataka,Bangalore,Woody's Dark Store
A462,Gujarat,Sanand,Vardhman Square
A477,Uttarakhand,Dehradun,Saharanpur Road
A501,Chhattisgarh,Raipur,Bhatagaon
A527,Kerala,Perinthalmanna,Bypass Junction
A532,Delhi,New Delhi,CBD Shahdara
A540,Telangana,Hyderabad,Khajaguda
A544,Uttar Pradesh,Noida,Golden I
A520,Gujarat,Ahmedabad,Nana Chhiloda
A521,Punjab,Mohali,TDI Connaught plaza
A496,Gujarat,Rajkot,Dr. Yagnik Road
A495,Andhra Pradesh,Hyderabad,Hasthinapuram
A506,Gujarat,Surat,Bhagal
A487,Punjab,Chandigarh,Sector 35 B
A386,Gujarat,Rajkot,Kuvadava Road
A349,Madhya Pradesh,Rewa,Urrahat
A529,Madhya Pradesh,Jabalpur,Gorakhpur Road
A337,Haryana,Gurugram,Sohna Road
A414,Maharashtra,Thane,Dombivali East
A420,Andhra Pradesh,Tirupati,TUDA Road
A433,Tamil Nadu,Chennai,Vadapalani
A509,Madhya Pradesh,Bhopal,Indrapuri
A567,Madhya Pradesh,Indore,Race course road
A596,Gujarat,Rajkot,Mavdi
A516,Tamil Nadu,Vellore,Katpadi
A503,Delhi,New Delhi,Dwarka Sector 12
A483,Gujarat,Vadodara,Harni Sama Link Road
A451,Punjab,Moga,GT Road
RP56,Bhiwandi,Bapgaon,RP56
A560,Gujarat,Vadodara,Makarpura
A537,Kerala,Kottayam,KK Road
D051,Uttar Pradesh,Lucknow DC,DC
D028,Tamil Nade,Coimbatore DC,DC
D001,Maharashtra,Thane,DC
D018,Maharashtra,Pune,DC
D019,Gujarat,Ahmedabad,DC
D021,Maharashtra,Nagpur,DC
D022,Telangana,Hyderabad,DC
D023,Karnataka,Bangalore,DC
D024,Maharashtra,Bhiwandi,DC
D025,Haryana,Gurugram,DC
D035,Punjab,Rajpura,DC
D038,Gujarat,Surat,DC
D039,Tamil Nadu,Chennai,DC
D041,West Bengal,Kolkata,DC
D042,Madhya Pradesh,Indore,DC
E001,Maharashtra,BHIWANDI,E001 Bhiwandi DC
E002,New Delhi,Delhi,E002 Delhi DC
E003,Karnataka,Bangalore,Infiniti Retail Limited -E003
E004,Gujarat,Ahmedabad,E004 Gujrat DC
E005,Telangana,Hyderabad,Hyderabad
E009,Haryana,Gurgaon,Gurgaon DC
E017,West Bengal,Hoogly,Kolkata DC-E017
E018,Maharashtra,Pune,Pune DC-E018
E024,Maharashtra,BHIWANDI,E024 Ecom Bhiwandi new DC
E045,Gujarat,Gandhinagar,E045 Ecom Ahmedabad DC
E074,Maharashtra,Nagpur,Nagpur DC-E074
I006,New Delhi,Institutional Sales - Delhi,Others
Online,,,Online
RP02,Gujarat,Ahmedabad,Repair
RP03,Karnataka,Bangalore,Repair
RP04,Telangana,Secunderabad,Repair
RP18,Maharashtra,Pune,Repair
RP21,Maharashtra,Nagpur,Repair
RP25,Haryana,Gurgaon,Repair
D054,Haryana,Gurugram DC,DC
D056,Maharashtra,Bapgaon,DC
D061,Maharashtra,Bhiwandi,DC
RP28,Tamil Nadu,Coimbatore,Repair
RP42,Maharashtra,Nagpur,Repair
RP17,West Bengal,Kolkata,Repair
RP39,Tamil Nadu,Chennai,Repair
